Address,Address Line,Area,Zip Code,Located in,Website,Phone Number,Reviews Count,Reviews Average,Opens at,About,Orders Links1,Orders Links2,Orders Links3
"8851 US-77, Lexington, TX 78947, United States",8851 US-77,Lexington,TX 78947,PETERSON FOOD MART INC,https://restaurants.subway.com/united-states/tx/lexington/8851-n-hwy-77?utm_source=yxt-goog&utm_medium=local&utm_term=acq&utm_content=49827&utm_campaign=evergreen-2020&y_source=1_MTQ5MTM0MzQtNzE1LWxvY2F0aW9uLndlYnNpdGU%3D,+1 979-773-2250,50,3.9, Opens 10am,"""Your local Lexington Subway® Restaurant, located at 8851 N Hwy 77 brings new bold flavors along with old favorites to satisfied guests every day. We deliver these mouth-watering flavors with our famous Footlongs, 6” sandwiches, wraps and salads. And...  More",https://subway.com/en-us/restaurant/49827-0/menu/?utm_source=yxt-goog&utm_medium=local&utm_term=acquisition&utm_content=49827&utm_campaign=yxt-restaurant-listing-allyear-2020&cid=0%3Atx%3A0%3Aswy-web%3A0%3A0&segment_code=0&y_source=1_MTQ5MTM0MzQtNzE1LWxvY2F0aW9uLm9yZGVyX3VybA%3D%3D,Not Given,Not Given
"211 US-63, Licking, MO 65542, United States",211 US-63,Licking,MO 65542,Not Given,https://restaurants.subway.com/united-states/mo/licking/211-south-highway-63?utm_source=yxt-goog&utm_medium=local&utm_term=acq&utm_content=55831&utm_campaign=evergreen-2020&y_source=1_MTQ5MDE2NzQtNzE1LWxvY2F0aW9uLndlYnNpdGU%3D,+1 573-674-2460,34,3.4, Opens 7am Thu,"""Your local Licking Subway® Restaurant, located at 211 South Highway 63 brings new bold flavors along with old favorites to satisfied guests every day. We deliver these mouth-watering flavors with our famous Footlongs, 6” sandwiches, wraps and salads....  More",https://subway.com/en-us/restaurant/55831-0/menu/?utm_source=yxt-goog&utm_medium=local&utm_term=acquisition&utm_content=55831&utm_campaign=yxt-restaurant-listing-allyear-2020&cid=0%3Atx%3A0%3Aswy-web%3A0%3A0&segment_code=0&y_source=1_MTQ5MDE2NzQtNzE1LWxvY2F0aW9uLm9yZGVyX3VybA%3D%3D,https://www.doordash.com/store/subway-licking-24880874/?utm_campaign=gpa,Not Given
"2122 S Meridian Ave #2, Oklahoma City, OK 73108, United States",2122 S Meridian Ave #2,Oklahoma City,OK 73108,Not Given,https://restaurants.subway.com/united-states/ok/oklahoma-city/2122-s-meridian-ave?utm_source=yxt-goog&utm_medium=local&utm_term=acq&utm_content=28831&utm_campaign=evergreen-2020&y_source=1_MTQ5MTM3NDEtNzE1LWxvY2F0aW9uLndlYnNpdGU%3D,+1 405-681-2400,228,3.9, Opens 8:30am,"""Your local Oklahoma City Subway® Restaurant, located at 2122 S Meridian Ave brings new bold flavors along with old favorites to satisfied guests every day. We deliver these mouth-watering flavors with our famous Footlongs, 6” sandwiches, wraps and...  More",https://subway.com/en-us/restaurant/28831-0/menu/?utm_source=yxt-goog&utm_medium=local&utm_term=acquisition&utm_content=28831&utm_campaign=yxt-restaurant-listing-allyear-2020&cid=0%3Atx%3A0%3Aswy-web%3A0%3A0&segment_code=0&y_source=1_MTQ5MTM3NDEtNzE1LWxvY2F0aW9uLm9yZGVyX3VybA%3D%3D,https://www.doordash.com/store/subway-oklahoma-city-332927/?utm_campaign=gpa,https://www.postmates.com/store/subway-2122-s-meridian-ave/8tMPWWAgSMaLAxh7cKg87g?utm_campaign=place-action-link&utm_medium=organic&utm_source=google
"5248 OK-167, Catoosa, OK 74015, United States",5248 OK-167,Catoosa,OK 74015,Not Given,https://restaurants.subway.com/united-states/ok/catoosa/5248-state-hwy-167?utm_source=yxt-goog&utm_medium=local&utm_term=acq&utm_content=27276&utm_campaign=evergreen-2020&y_source=1_MTQ5MTI4NzEtNzE1LWxvY2F0aW9uLndlYnNpdGU%3D,+1 918-266-2068,113,4.1, Opens 6am,"""Your local Catoosa Subway® Restaurant, located at 5248 State Hwy 167 brings new bold flavors along with old favorites to satisfied guests every day. We deliver these mouth-watering flavors with our famous Footlongs, 6” sandwiches, wraps and salads....  More",https://subway.com/en-us/restaurant/27276-0/menu/?utm_source=yxt-goog&utm_medium=local&utm_term=acquisition&utm_content=27276&utm_campaign=yxt-restaurant-listing-allyear-2020&cid=0%3Atx%3A0%3Aswy-web%3A0%3A0&segment_code=0&y_source=1_MTQ5MTI4NzEtNzE1LWxvY2F0aW9uLm9yZGVyX3VybA%3D%3D,Not Given,Not Given
"2875 Main St Suite 106, Frisco, TX 75034, United States",2875 Main St Suite 106,Frisco,TX 75034,Not Given,https://restaurants.subway.com/united-states/tx/frisco/2875-main-street?utm_source=yxt-goog&utm_medium=local&utm_term=acq&utm_content=43908&utm_campaign=evergreen-2020&y_source=1_MTQ5MTY0NTItNzE1LWxvY2F0aW9uLndlYnNpdGU%3D,+1 214-872-4962,122,3.3, Opens 9am,"""Your local Frisco Subway® Restaurant, located at 2875 Main Street brings new bold flavors along with old favorites to satisfied guests every day. We deliver these mouth-watering flavors with our famous Footlongs, 6” sandwiches, wraps and salads. And...  More",https://subway.com/en-us/restaurant/43908-0/menu/?utm_source=yxt-goog&utm_medium=local&utm_term=acquisition&utm_content=43908&utm_campaign=yxt-restaurant-listing-allyear-2020&cid=0%3Atx%3A0%3Aswy-web%3A0%3A0&segment_code=0&y_source=1_MTQ5MTY0NTItNzE1LWxvY2F0aW9uLm9yZGVyX3VybA%3D%3D,https://www.grubhub.com/restaurant/subway-2875-main-st-ste-106-frisco/1065107?utm_source=google&utm_medium=organic&utm_campaign=place-action-link&pickup=true&rwg_token=AOZt1jW7_CfpeMv_b6NNXOpH-5KhpdCqYEvEDpM9TnquoW2LT_6SEGz1QbqmSKSR6Kmu7cORtGNUuwabHs_yQ5ZvFmP8UxoKsw%3D%3D,https://www.doordash.com/store/subway-frisco-330587/?utm_campaign=gpa
"1820 Prairie View Rd Unit A, Platte City, MO 64079, United States",1820 Prairie View Rd Unit A,Platte City,MO 64079,Vapor Maven,https://restaurants.subway.com/united-states/mo/platte-city/1820-nw-prairie-view-rd?utm_source=yxt-goog&utm_medium=local&utm_term=acq&utm_content=12203&utm_campaign=evergreen-2020&y_source=1_MTQ5MTA1NTMtNzE1LWxvY2F0aW9uLndlYnNpdGU%3D,+1 816-858-3888,215,4.2, Opens 8am,"""Your local Platte City Subway® Restaurant, located at 1820 NW Prairie View Rd brings new bold flavors along with old favorites to satisfied guests every day. We deliver these mouth-watering flavors with our famous Footlongs, 6” sandwiches, wraps and...  More",https://subway.com/en-us/restaurant/12203-0/menu/?utm_source=yxt-goog&utm_medium=local&utm_term=acquisition&utm_content=12203&utm_campaign=yxt-restaurant-listing-allyear-2020&cid=0%3Atx%3A0%3Aswy-web%3A0%3A0&segment_code=0&y_source=1_MTQ5MTA1NTMtNzE1LWxvY2F0aW9uLm9yZGVyX3VybA%3D%3D,https://www.doordash.com/store/subway-platte-city-2032975/?utm_campaign=gpa,https://www.postmates.com/store/subway-1820-prairie-view-rd/S1Gr_U_XTPeiAtVrb1mBCQ?utm_campaign=place-action-link&utm_medium=organic&utm_source=google
"1530 E 11th Ave, Hutchinson, KS 67501, United States",1530 E 11th Ave,Hutchinson,KS 67501,Not Given,https://restaurants.subway.com/united-states/ks/hutchinson/1530-e-11th-ave?utm_source=yxt-goog&utm_medium=local&utm_term=acq&utm_content=7634&utm_campaign=evergreen-2020&y_source=1_MTQ5MDAyNDItNzE1LWxvY2F0aW9uLndlYnNpdGU%3D,+1 620-662-7827,158,4.2, Opens 8am,"""Your local Hutchinson Subway® Restaurant, located at 1530 E 11th Ave brings new bold flavors along with old favorites to satisfied guests every day. We deliver these mouth-watering flavors with our famous Footlongs, 6” sandwiches, wraps and salads....  More",https://subway.com/en-us/restaurant/7634-0/menu/?utm_source=yxt-goog&utm_medium=local&utm_term=acquisition&utm_content=7634&utm_campaign=yxt-restaurant-listing-allyear-2020&cid=0%3Atx%3A0%3Aswy-web%3A0%3A0&segment_code=0&y_source=1_MTQ5MDAyNDItNzE1LWxvY2F0aW9uLm9yZGVyX3VybA%3D%3D,https://www.postmates.com/store/subway-7634/4P935r2VTymG7BO-03KuAA?utm_campaign=place-action-link&utm_medium=organic&utm_source=google,https://www.ubereats.com/store/subway-7634/4P935r2VTymG7BO-03KuAA?utm_campaign=place-action-link&utm_medium=organic&utm_source=google
"11140 S Lone Elm Rd, Olathe, KS 66061, United States",11140 S Lone Elm Rd,Olathe,KS 66061,Not Given,https://restaurants.subway.com/united-states/ks/olathe/11140-s-lone-elm-rd?utm_source=yxt-goog&utm_medium=local&utm_term=acq&utm_content=40509&utm_campaign=evergreen-2020&y_source=1_MTQ5MTIzMzQtNzE1LWxvY2F0aW9uLndlYnNpdGU%3D,+1 913-764-6565,109,3.6, Opens 8am,"""Your local Olathe Subway® Restaurant, located at 11140 S. Lone Elm Rd brings new bold flavors along with old favorites to satisfied guests every day. We deliver these mouth-watering flavors with our famous Footlongs, 6” sandwiches, wraps and salads....  More",https://subway.com/en-us/restaurant/40509-0/menu/?utm_source=yxt-goog&utm_medium=local&utm_term=acquisition&utm_content=40509&utm_campaign=yxt-restaurant-listing-allyear-2020&cid=0%3Atx%3A0%3Aswy-web%3A0%3A0&segment_code=0&y_source=1_MTQ5MTIzMzQtNzE1LWxvY2F0aW9uLm9yZGVyX3VybA%3D%3D,https://www.grubhub.com/restaurant/subway-40509-0-11140-s-lone-elm-rd-olathe/2421916?utm_source=google&utm_medium=organic&utm_campaign=place-action-link&pickup=true&rwg_token=AOZt1jXCsGOvJGfh_BYKX7Wgeh9rYgp4WoGGk6R_Ytc7FuGxECtV56zxFiM-l3CUe0c-omXQunmwVvzGALBDYderY0wweZzZVQ%3D%3D,https://www.doordash.com/store/subway-olathe-798199/?utm_campaign=gpa
"1826 W Central Ave, El Dorado, KS 67042, United States",1826 W Central Ave,El Dorado,KS 67042,Not Given,https://restaurants.subway.com/united-states/ks/el-dorado/1826-w-central?utm_source=yxt-goog&utm_medium=local&utm_term=acq&utm_content=11036&utm_campaign=evergreen-2020&y_source=1_MTQ5MTY4MzctNzE1LWxvY2F0aW9uLndlYnNpdGU%3D,+1 316-320-0990,220,4.1, Opens 8am,"""Your local El Dorado Subway® Restaurant, located at 1826 W Central brings new bold flavors along with old favorites to satisfied guests every day. We deliver these mouth-watering flavors with our famous Footlongs, 6” sandwiches, wraps and salads. And...  More",https://subway.com/en-us/restaurant/11036-0/menu/?utm_source=yxt-goog&utm_medium=local&utm_term=acquisition&utm_content=11036&utm_campaign=yxt-restaurant-listing-allyear-2020&cid=0%3Atx%3A0%3Aswy-web%3A0%3A0&segment_code=0&y_source=1_MTQ5MTY4MzctNzE1LWxvY2F0aW9uLm9yZGVyX3VybA%3D%3D,https://www.doordash.com/store/subway-el-dorado-1779664/?utm_campaign=gpa,Not Given
"1916 NW Cache Rd, Lawton, OK 73501, United States",1916 NW Cache Rd,Lawton,OK 73501,PJ center,https://restaurants.subway.com/united-states/ok/lawton/1916-cache-rd?utm_source=yxt-goog&utm_medium=local&utm_term=acq&utm_content=7275&utm_campaign=evergreen-2020&y_source=1_MTQ5MTAyODItNzE1LWxvY2F0aW9uLndlYnNpdGU%3D,+1 580-248-7827,288,4.1, Opens 9am,"""Your local Lawton Subway® Restaurant, located at 1916 Cache Rd brings new bold flavors along with old favorites to satisfied guests every day. We deliver these mouth-watering flavors with our famous Footlongs, 6” sandwiches, wraps and salads. And we...  More",https://subway.com/en-us/restaurant/7275-0/menu/?utm_source=yxt-goog&utm_medium=local&utm_term=acquisition&utm_content=7275&utm_campaign=yxt-restaurant-listing-allyear-2020&cid=0%3Atx%3A0%3Aswy-web%3A0%3A0&segment_code=0&y_source=1_MTQ5MTAyODItNzE1LWxvY2F0aW9uLm9yZGVyX3VybA%3D%3D,https://www.doordash.com/store/subway-lawton-798194/?utm_campaign=gpa,https://www.postmates.com/store/subway-1916-cache-rd/Y9ncTKlSRdaGAyjq48HnOg?utm_campaign=place-action-link&utm_medium=organic&utm_source=google
